merged_type	cell_type
"Other"	"Adipocytes"
"T-cell CD4"	"CD4+ T-cells"
"T-cell CD4"	"CD4+ Tcm"
"T-cell CD4"	"CD4+ Tem"
"T-cell CD8"	"CD8+ T-cells"
"T-cell CD8"	"CD8+ Tcm"
"T-cell CD8"	"CD8+ Tem"
"B-cells"	"Class-switched memory B-cells"
"Other"	"CLP"
"Other"	"CMP"
"DC"	"DC"
"Other"	"Endothelial cells"
"Other"	"Epithelial cells"
"Other"	"Erythrocytes"
"Other"	"Fibroblasts"
"Other"	"GMP"
"Other"	"HSC"
"Macro"	"Macrophages"
"Macro"	"Macrophages M1"
"Other"	"Megakaryocytes"
"Other"	"Melanocytes"
"B-cells"	"Memory B-cells"
"Other"	"MEP"
"Mono"	"Monocytes"
"Other"	"MPP"
"Other"	"mv Endothelial cells"
"B-cells"	"naive B-cells"
"NK"	"NK cells"
"Plasma"	"Plasma cells"
"Other"	"Preadipocytes"
"Other"	"Smooth muscle"
"Treg"	"Tregs"
"Other"	"Astrocytes"
"Other"	"Chondrocytes"
"Other"	"Keratinocytes"
"Other"	"Neutrophils"
"Other"	"Eosinophils"
"Other"	"Skeletal muscle"
"Other"	"Myocytes"
"Other"	"Pericytes"
"Other"	"Mesangial cells"
